id,name,price,price_delta_season,price_delta_race,probability_price_up_percentage,probability_price_down_percentage,selection_percentage,selection_percentage_delta_season,datetime,timestamp
26,K. Raikkonen,9.6,0.0,0.0,0,86,15,0,2021-03-31 02:54:41,1617155681
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 02:54:41,1617155681
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 02:54:41,1617155681
6,Alpine,15.3,-0.1,-0.1,0,66,3,0,2021-03-31 02:54:41,1617155681
5,Red Bull,26.0,0.1,0.1,8,0,31,1,2021-03-31 02:54:41,1617155681
25,Y. Tsunoda,9.0,0.2,0.2,79,0,29,3,2021-03-31 02:54:41,1617155681
19,S. Vettel,15.9,-0.3,-0.3,0,92,17,-2,2021-03-31 02:54:41,1617155681
23,C. Sainz,14.4,0.0,0.0,0,38,27,0,2021-03-31 02:54:41,1617155681
24,P. Gasly,11.7,0.0,0.0,85,0,43,1,2021-03-31 02:54:41,1617155681
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 02:54:41,1617155681
14,M. Verstappen,24.9,0.1,0.1,93,0,52,2,2021-03-31 02:54:41,1617155681
22,C. Leclerc,17.1,0.3,0.3,14,0,29,2,2021-03-31 02:54:41,1617155681
